,Faulty inverter deatils,,Type,ISSUE,C.P or Distr./ FE Replacement S.N,State ,EPC CUSTOMER DETAILS,FE Engineer,"Venkatesh Remark
Sales stock New Replacement",,
DATE,Rating /Ph,Serial Number ,FG/FM,,,,,,,,
23-07-2024,5KW-1PH,2404136859,,"Inverter not working with Error code of F19, After Factory reset also same issue contioues",2404136973,Kerala,ALLSUN ENERGY,ARUN NAIR,,,
18-11-2024,5KW-1PH,2404106251,,MPPT SHORT,2408166633,Kerala,SN ENERGY,RAMMURTHY,,,
20-11-2024,5KW-1PH,2404146094,,DC AMPS ZERO,2404136813,Kerala,REAL POWER(8893608899),RAMMURTHY,,,
27-11-2024,5KW-1PH,2408171034,,MPPT SHORT,2408166651 / 2404136824,Kerala,SPECTRUM TECHNO,RAMMURTHY,FE,,
24-12-2024,4KW-1PH,2404131359,,F35 issue voltage not sensing inverter,2404187014,Andra,Selco solar (ANDHRA),ANANDH / VIGNESH,FE,,
25-12-2024,5KW-1PH,2404106286,,MPPT SHORT,2404104247 / 2404106285,Kerala,SOLWATT,Vignesh,FE,,
03-01-2025,5KW-1PH,2404136984,,F39,2408156549/ 2408156540,Kerala,REFFTECH SOLAR kerala,Anand,FE,,
28-02-2025,3.3KW-1PH,2408146989,,inverter display not working,2408146808 / 2404141816,Uttra Pradesh,S P Enterprise-Varanasi,satyendra,FE,,
29-03-2025,6 KW-3PH,2408101283,,mppt short,2408101295 /2412223033,Uttra Pradesh,ASHISH ENTERPRISES,Satyendra,FE,,
15-03-2025,5KW-1PH,2408154786,,DL AP not visible,2408166763 ( Repaired)  / ,Kerala,ALLSUN ENERGY - Kerala,ROSHAN,,,
19-03-2025,5KW-1PH,2408166689,,Inverter not producing and then not turning ON,2404136822 / 2501070167,Kerala,REAL POWER SYSTEM- Kerala,ROSHAN,FE,,
24-03-2025,5KW-1PH,2404106273,,Inverter not turning ON. new installation.,2404106285 / 2501076514,Kerala,MILASHIE POWER- Kerala,ROSHAN,FE,,
29-03-2025,5KW-1PH,2408166737,,Inverter not producing Power,2404146086 / 2501070156,Kerala,ZAKION RENEWABLES- Kerala,ROSHAN,FE,,
12-03-2025,3KW-1PH,2408087498,,INVERTER NOT TURNING ON EVEN AFTER GIVING DC SUPPLY,2411123388 / 2411125119 ,Karnataka,selco solar karkala,ANANDH,FE,,
26-03-2025,10KW-3PH,2404224517,,Inverter not turning ON,2407098002,Kerala,Sekhmet Energy,ROSHAN,FE,,
04-04-2025,3KW-1PH,2411125778,,Inverter not turning ON. new installation.,2404110536,Karnataka,"Sincere Solutions-Bangalore, KA",ROSHAN,FE,,
03-04-2025,5KW-1PH,2404136836,,Low production issue & Fan fault,2404106260 / 2506084399-FE,Kerala,"Highgrid Associates, Kannur-KL",ROSHAN,FE replacemnet is done by ALLSUN OWN vehicle 29-10-2025,,
11-04-2025,5KW-1PH,2411096350,,MPPT Short.,2411096548 / 2501076550,Kerala,Nazim - Calicut Kerala,ROSHAN,FE,,
16-04-2025,5KW-1PH,2408166714,,Inverter not producing Power even DC AC Voltage supplied,2404064110 / 2501075012,Kerala,Zakion renewables - Ottappalam -KL,ROSHAN,FE,,
04-04-2025,10KW-3PH,2404126461,,Inverter not producing Power with DC and AC supply,2404224536,Kerala,Ray Technologies-Trivandrum ,ROSHAN,FE PENDING ,,
28-04-2025,2.7KW-1PH,2404082947,,F39 – AC current sensing high,2404110536,Kerala,Selco Solar - Kollam,ROSHAN,FE,,
10-04-2025,3KW-1PH,2408087169,,MPPT SHORT,2411123213  / 2408131407  ,Karnataka,Selco Solar - UDUPI,Satyendra,FE,,
23-04-2025,3KW-1PH,2411141136,,Inverter data not getting.logger is onlinne,2404110716,Kerala,"Sundropes energy solutions,Kasargod - KL",ROSHAN,FE,,
27-04-2025,5KW-1PH,2408166722,,Inverter not turning ON ,"2404136859 - FE(P)
2506084568-FE",Kerala,Voltix Technologies -Trivandrum ,Satyendra,"Service Spare inverter (Failed )
FE replacemnet is done by ALLSUN OWN vehicle 29-10-2025",,Service spare RE
28-04-2025,3KW-1PH,2411141137,,AP not visiblle ,"2408154572 Service standby
2501097706 (SUNAP)
2505146536  ( FESTON )",Kerala,Orbit Technology- Kerala ,ROSHAN,"Service Spare inverter / New replacement done by SUNAP 
18-07-2025",From factory Service replacemnet is done 26-08-2025 FE-2505146536  ,
28-04-2025,2.7KW-1PH,2404082947,,Over AC current alert F39,2404110536 - FE,Karnataka,Selco Solar Light -Manipal ,ROSHAN,Service Spare inverter ,FE,Service spare RE
24-04-2025,5KW-1PH,2404146160,,Over AC current warning F39,2408171034,,,ROSHAN,"SPARE INV at SITE 
Faulty to BLR ",,
30-04-2025,10KW-3PH,2407214358,,self check repeating,2404126461 - FE,Kerala,SEKHMET ENERGY INDIA -kottyam,ROSHAN,Service Spare inverter ,FE,Service spare RE
21-11-2025,LOGGER,2947587574,,12KW-3PH-ONGRID 2404884517 - Logger issue,LOGGER : 2974129156,Kerala,SEKHMET ENERGY KERALA,ROSHAN,FE,,
18-12-2025,LOGGER,2944263200,,12KW -3PH - 2404126454  Logger issue,LOGGER : 2390110943,Karnataka,Afra engineers - SUNAP KL,HARI-DEYE,FE,,
